ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
309;A_1;-14;6: G-(0.3Ex+Ey);28;13: G+0.8Q+(0.3Ex+Ey);-88;6: G-(0.3Ex+Ey);94;13: G+0.8Q+(0.3Ex+Ey);507;14: G+0.8Q-(0.3Ex+Ey);523;5: G+(0.3Ex+Ey);;;;;;;
305;K_2;-15;6: G-(0.3Ex+Ey);26;13: G+0.8Q+(0.3Ex+Ey);-80;14: G+0.8Q-(0.3Ex+Ey);74;5: G+(0.3Ex+Ey);656;14: G+0.8Q-(0.3Ex+Ey);687;5: G+(0.3Ex+Ey);;;;;;;
308;A_2;-14;6: G-(0.3Ex+Ey);25;13: G+0.8Q+(0.3Ex+Ey);-73;6: G-(0.3Ex+Ey);78;13: G+0.8Q+(0.3Ex+Ey);654;14: G+0.8Q-(0.3Ex+Ey);688;5: G+(0.3Ex+Ey);;;;;;;
304;K_3;-10909;2: G-(Ex+0.3Ey);10784;9: G+0.8Q+(Ex+0.3Ey);-993;14: G+0.8Q-(0.3Ex+Ey);968;5: G+(0.3Ex+Ey);1305;14: G+0.8Q-(0.3Ex+Ey);1326;5: G+(0.3Ex+Ey);;;;;;;
307;A_3;-9912;10: G+0.8Q-(Ex+0.3Ey);9708;1: G+(Ex+0.3Ey);-958;6: G-(0.3Ex+Ey);979;13: G+0.8Q+(0.3Ex+Ey);1305;14: G+0.8Q-(0.3Ex+Ey);1326;5: G+(0.3Ex+Ey);;;;;;;
4;A_4;-6596;2: G-(Ex+0.3Ey);7225;9: G+0.8Q+(Ex+0.3Ey);-624;6: G-(0.3Ex+Ey);633;13: G+0.8Q+(0.3Ex+Ey);-26065;10: G+0.8Q-(Ex+0.3Ey);28876;1: G+(Ex+0.3Ey);;;;;;;
29;K_4;-6241;2: G-(Ex+0.3Ey);6866;9: G+0.8Q+(Ex+0.3Ey);-388;14: G+0.8Q-(0.3Ex+Ey);383;5: G+(0.3Ex+Ey);-23968;10: G+0.8Q-(Ex+0.3Ey);26347;1: G+(Ex+0.3Ey);;;;;;;
5;A_5;-27;2: G-(Ex+0.3Ey);31;9: G+0.8Q+(Ex+0.3Ey);-844;6: G-(0.3Ex+Ey);848;13: G+0.8Q+(0.3Ex+Ey);1112;6: G-(0.3Ex+Ey);3818;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
28;K_5;-19;2: G-(Ex+0.3Ey);20;9: G+0.8Q+(Ex+0.3Ey);-503;14: G+0.8Q-(0.3Ex+Ey);500;5: G+(0.3Ex+Ey);551;2: G-(Ex+0.3Ey);2599;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
30;K_6;-6517;2: G-(Ex+0.3Ey);5737;9: G+0.8Q+(Ex+0.3Ey);-565;14: G+0.8Q-(0.3Ex+Ey);546;5: G+(0.3Ex+Ey);-22693;2: G-(Ex+0.3Ey);27464;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
