ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
1627;K_64;0;256: G+1.5W+1.5Q+0.75S3;0;135: 1.35G+1.5W6+0.75S2;-99;101: 1.35G+1.5W2+1.5Q;102;283: G+1.5W5+0.75S;920;291: G+1.5W6+0.75S;1349;93: 1.35G+1.5W+1.5Q;;;;;;;
1628;K_65;0;254: G+1.5W+1.5Q+0.75S;0;132: 1.35G+1.5W6;-96;101: 1.35G+1.5W2+1.5Q;99;283: G+1.5W5+0.75S;837;289: G+1.5W6;1194;99: 1.35G+1.5W+1.5Q+0.75S3;;;;;;;
1623;K_66;0;254: G+1.5W+1.5Q+0.75S;0;132: 1.35G+1.5W6;-83;101: 1.35G+1.5W2+1.5Q;88;283: G+1.5W5+0.75S;540;289: G+1.5W6;856;86: 1.35G+1.5S3+1.5Q+0.9W3;;;;;;;
1624;K_71;0;254: G+1.5W+1.5Q+0.75S;0;132: 1.35G+1.5W6;-83;101: 1.35G+1.5W2+1.5Q;88;283: G+1.5W5+0.75S;545;290: G+1.5W6+1.5Q;853;82: 1.35G+1.5S3+0.9W7;;;;;;;
1629;K_72;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-95;101: 1.35G+1.5W2+1.5Q;99;283: G+1.5W5+0.75S;842;250: G+1.5W+1.5Q;1185;152: 1.35G+1.5W8+0.75S3;;;;;;;
1630;K_73;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-98;117: 1.35G+1.5W4+1.5Q;102;283: G+1.5W5+0.75S;909;254: G+1.5W+1.5Q+0.75S;1334;132: 1.35G+1.5W6;;;;;;;
1433;K_74;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-98;117: 1.35G+1.5W4+1.5Q;102;283: G+1.5W5+0.75S;916;254: G+1.5W+1.5Q+0.75S;1320;132: 1.35G+1.5W6;;;;;;;
1247;A_75;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-117;299: G+1.5W7+0.75S;111;101: 1.35G+1.5W2+1.5Q;1805;255: G+1.5W+1.5Q+0.75S2;2532;132: 1.35G+1.5W6;;;;;;;
1390;K_75;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-95;101: 1.35G+1.5W2+1.5Q;98;283: G+1.5W5+0.75S;770;289: G+1.5W6;1337;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1248;A_76;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-83;299: G+1.5W7+0.75S;80;101: 1.35G+1.5W2+1.5Q;785;305: G+1.5W8;1459;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1537;K_76;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-83;101: 1.35G+1.5W2+1.5Q;86;283: G+1.5W5+0.75S;-51;289: G+1.5W6;1819;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1249;A_77;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-59;299: G+1.5W7+0.75S;55;101: 1.35G+1.5W2+1.5Q;-166;305: G+1.5W8;1711;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1103;A_81;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-58;299: G+1.5W7+0.75S;54;101: 1.35G+1.5W2+1.5Q;116;305: G+1.5W8;1407;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1543;K_81;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-83;101: 1.35G+1.5W2+1.5Q;86;283: G+1.5W5+0.75S;-56;289: G+1.5W6;1814;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1104;A_82;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-78;299: G+1.5W7+0.75S;76;101: 1.35G+1.5W2+1.5Q;798;305: G+1.5W8;1268;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1562;K_82;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-96;101: 1.35G+1.5W2+1.5Q;98;283: G+1.5W5+0.75S;771;289: G+1.5W6;1327;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
1105;A_83;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-82;299: G+1.5W7+0.75S;80;101: 1.35G+1.5W2+1.5Q;930;254: G+1.5W+1.5Q+0.75S;1315;148: 1.35G+1.5W8;;;;;;;
1566;K_83;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-99;101: 1.35G+1.5W2+1.5Q;101;283: G+1.5W5+0.75S;910;254: G+1.5W+1.5Q+0.75S;1318;132: 1.35G+1.5W6;;;;;;;
